I1,I2,N1,N2,N3
1.2188e-07,1.2188e-07,0.0,0.5,1.0
3.145e-07,3.145e-07,0.0,0.5,1.0
8.5527e-07,8.5527e-07,0.0,0.5,1.0
1.6966e-06,1.6966e-06,0.0,0.5,1.0
2.8278e-06,2.8278e-06,0.0,0.5,1.0
4.2475e-06,4.2475e-06,0.0,0.5,1.0
5.9478e-06,5.9478e-06,0.0,0.5,1.0
7.9058e-06,7.9058e-06,0.0,0.5,1.0
1.0082e-05,1.0082e-05,0.0,0.5,1.0
1.2428e-05,1.2428e-05,0.0,0.5,1.0
1.489e-05,1.489e-05,0.0,0.5,1.0
1.7422e-05,1.7422e-05,0.0,0.5,1.0
1.9982e-05,1.9982e-05,0.0,0.5,1.0
2.2538e-05,2.2538e-05,0.0,0.5,1.0
2.5064e-05,2.5064e-05,0.0,0.5,1.0
2.7537e-05,2.7537e-05,0.0,0.5,1.0
2.9938e-05,2.9938e-05,0.0,0.5,1.0
3.2251e-05,3.2251e-05,0.0,0.5,1.0
3.4464e-05,3.4464e-05,0.0,0.5,1.0
3.6567e-05,3.6567e-05,0.0,0.5,1.0
3.8562e-05,3.8562e-05,0.0,0.5,1.0
4.0447e-05,4.0447e-05,0.0,0.5,1.0
4.2223e-05,4.2223e-05,0.0,0.5,1.0
4.3885e-05,4.3885e-05,0.0,0.5,1.0
4.5428e-05,4.5428e-05,0.0,0.5,1.0
4.6848e-05,4.6848e-05,0.0,0.5,1.0
4.8138e-05,4.8138e-05,0.0,0.5,1.0
4.9289e-05,4.9289e-05,0.0,0.5,1.0
5.0293e-05,5.0293e-05,0.0,0.5,1.0
5.113e-05,5.113e-05,0.0,0.5,1.0
5.1773e-05,5.1773e-05,0.0,0.5,1.0
5.2189e-05,5.2189e-05,0.0,0.5,1.0
5.2334e-05,5.2334e-05,0.0,0.5,1.0
3.145e-07,3.145e-07,0.0,0.5,1.0
3.2952e-06,3.2952e-06,2.7306e-05,1.0,1.0
1.3362e-05,1.3362e-05,8.7829e-05,1.0,1.0
2.8744e-05,2.8744e-05,0.00017245,0.99998,1.0
4.771e-05,4.771e-05,0.00027673,0.99984,1.0
7.162e-05,7.162e-05,0.00039531,0.99918,1.0
0.0001007,0.0001007,0.00052166,0.9975,1.0
0.00013452,0.00013452,0.00064885,0.99467,1.0
0.00017228,0.00017228,0.0007716,0.99107,1.0
0.00021303,0.00021303,0.00088726,0.98711,1.0
0.00025581,0.00025581,0.00099523,0.98316,1.0
0.00029979,0.00029979,0.001096,0.97943,1.0
0.00034423,0.00034423,0.0011904,0.97571,1.0
0.00038858,0.00038858,0.0012792,0.97143,1.0
0.00043236,0.00043236,0.001363,0.96507,1.0
0.00047515,0.00047515,0.001442,0.95709,1.0
0.00051664,0.00051664,0.0015163,0.95068,1.0
0.00055655,0.00055655,0.0015862,0.94518,1.0
0.00059464,0.00059464,0.0016515,0.9408,1.0
0.00063076,0.00063076,0.0017122,0.93908,1.0
0.00066495,0.00066495,0.0017692,0.93836,1.0
0.00069722,0.00069722,0.001823,0.93723,1.0
0.00072753,0.00072753,0.0018737,0.93568,1.0
0.00075585,0.00075585,0.0019214,0.93682,1.0
0.00078211,0.00078211,0.0019661,0.94113,1.0
0.0008062,0.0008062,0.0020074,0.95002,1.0
0.00082804,0.00082804,0.0020452,0.96419,1.0
0.00084751,0.00084751,0.0020793,0.97725,1.0
0.00086444,0.00086444,0.0021091,0.98699,1.0
0.00087855,0.00087855,0.0021342,0.9934,1.0
0.00088939,0.00088939,0.0021536,0.9963,1.0
0.00089637,0.00089637,0.002166,0.9976,1.0
0.00089882,0.00089882,0.0021703,0.99803,1.0
8.5527e-07,8.5527e-07,0.0,0.5,1.0
1.3362e-05,1.3362e-05,8.7829e-05,1.0,1.0
9.3911e-05,9.3911e-05,0.00040638,1.0,1.0
0.00026896,0.00026896,0.00091113,0.99999,1.0
0.0004892,0.0004892,0.0014875,0.99985,1.0
0.0007304,0.0007304,0.0021419,0.99922,1.0
0.001006,0.001006,0.0028369,0.99765,1.0
0.0013182,0.0013182,0.0035336,0.99506,1.0
0.0016599,0.0016599,0.0042032,0.99165,1.0
0.0020212,0.0020212,0.0048319,0.98766,1.0
0.0023932,0.0023932,0.0054171,0.98352,1.0
0.0027682,0.0027682,0.0059621,0.97956,1.0
0.0031403,0.0031403,0.0064717,0.97562,1.0
0.0035049,0.0035049,0.0069502,0.97122,1.0
0.0038583,0.0038583,0.0074008,0.96483,1.0
0.0041978,0.0041978,0.0078251,0.95692,1.0
0.0045212,0.0045212,0.0082239,0.95067,1.0
0.0048273,0.0048273,0.0085981,0.94525,1.0
0.0051147,0.0051147,0.0089469,0.9408,1.0
0.0053832,0.0053832,0.0092709,0.93898,1.0
0.0056337,0.0056337,0.0095747,0.9382,1.0
0.005867,0.005867,0.009861,0.937,1.0
0.0060833,0.0060833,0.010131,0.93537,1.0
0.0062829,0.0062829,0.010385,0.93649,1.0
0.0064656,0.0064656,0.010622,0.94084,1.0
0.0066314,0.0066314,0.010841,0.94972,1.0
0.0067801,0.0067801,0.011041,0.96378,1.0
0.0069114,0.0069114,0.011222,0.97674,1.0
0.0070245,0.0070245,0.01138,0.9864,1.0
0.007118,0.007118,0.011513,0.9927,1.0
0.0071895,0.0071895,0.011615,0.99555,1.0
0.0072354,0.0072354,0.011681,0.99687,1.0
0.0072514,0.0072514,0.011703,0.99729,1.0
